,X,name,status,region,city,funding_rounds,seed,venture,equity_crowdfunding,undisclosed,convertible_note,debt_financing,angel,grant,private_equity,post_ipo_equity,post_ipo_debt,secondary_market,product_crowdfunding,round_A,round_B,round_C,round_D,round_E,round_F,round_G,round_H,total_investment,market_type,diff_funding_year,status_label,total_investment_label,diff_funding_year_label,funding_rounds_label,seed_label,venture_label,total_investment_cde,diff_funding_year_cde,funding_rounds_cde,seed_cde,venture_cde
22406,8201,Pearescope,closed,New York City,New York,2,0,265000,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,590000,1,1.5,0,low_medium,high,low,low,low,1,1,0,0,0
22407,529,AltaVitas,closed,SF Bay Area,Sunnyvale,1,0,387996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,387996,0,0,0,low_medium,low,low,low,low,1,0,0,0,0
22408,42,3ClickEMR Corporation,closed,Boston,West Roxbury,2,250000,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.00E+05,1,0.916666667,0,low_medium,low,low,low,low,1,0,0,0,0
22409,9447,Roxro Pharma,closed,SF Bay Area,Menlo Park,1,0,42700000,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,85400000,1,0,0,high,low,low,low,high,3,0,0,0,2
22410,8801,Punch Entertainment,closed,SF Bay Area,Palo Alto,2,0,2932278,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4132278,1,3.083333333,0,high_medium,high,low,low,medium,2,1,0,0,1
22411,7724,Offbeat Guides,closed,SF Bay Area,San Francisco,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,low,low,low,low,low,0,0,0,0,0
22412,5051,Hubkick,closed,SF Bay Area,San Francisco,1,112500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112500,1,0,0,low,low,low,low,low,0,0,0,0,0
22413,11631,TwtBks,closed,SF Bay Area,San Francisco,1,25000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25000,1,0,0,low,low,low,low,low,0,0,0,0,0
22414,12352,Wild Pockets,closed,SF Bay Area,Pittsburg,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,low,low,low,low,low,0,0,0,0,0
22415,810,Aria Glassworks,closed,SF Bay Area,Mountain View,1,0,1750000,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3500000,1,0,0,high_medium,low,low,low,medium,2,0,0,0,1
