"","name","status","region","city","funding_rounds","seed","venture","equity_crowdfunding","undisclosed","convertible_note","debt_financing","angel","grant","private_equity","post_ipo_equity","post_ipo_debt","secondary_market","product_crowdfunding","round_A","round_B","round_C","round_D","round_E","round_F","round_G","round_H","total_investment","market_type","diff_funding_year","status_label","total_investment_label","diff_funding_year_label","funding_rounds_label","seed_label","venture_label","total_investment_cde","diff_funding_year_cde","funding_rounds_cde","seed_cde","venture_cde"
"7274","Mytrus","operating","SF Bay Area","San Francisco",2,0,2850000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2850000,0,3.41666666666667,1,"low_medium","high","low","low","medium",1,1,0,0,1
"7275","myTurn","operating","SF Bay Area","Berkeley",1,17000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17000,1,0,1,"low","low","low","low","low",0,0,0,0,0
"7276","MyUnfold","operating","Seattle","Seattle",1,45000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45000,1,0,1,"low","low","low","low","low",0,0,0,0,0
"7277","MyVerse","closed","SF Bay Area","San Francisco",1,400000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4e+05,0,0,0,"low_medium","low","low","high","low",1,0,0,1,0
"7278","mywaves","closed","SF Bay Area","Sunnyvale",1,0,6e+06,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1.2e+07,1,0,0,"high_medium","low","low","low","medium",2,0,0,0,1
"7279","myWebRoom","operating","SF Bay Area","San Francisco",3,5600000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5600000,0,1.75,1,"high_medium","high","high","high","low",2,1,1,1,0
"7280","Myworldwall","operating","Atlanta","Atlanta",1,15000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15000,1,0,1,"low","low","low","low","low",0,0,0,0,0
"7281","Myze","operating","SF Bay Area","San Francisco",2,95000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95000,1,0.916666666666667,1,"low","low","low","low","low",0,0,0,0,0
"7282","Mzinga","operating","Boston","Burlington",2,0,37501105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,70001105,1,1.5,1,"high","high","low","low","high",3,1,0,0,2
"7283","N-of-One","operating","Boston","Lexington",2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2748855,1,1.66666666666667,1,"low_medium","high","low","low","low",1,1,0,0,0
"7284","N-Sided","closed","SF Bay Area","San Francisco",1,0,378000,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,756000,1,0,0,"low_medium","low","low","low","low",1,0,0,0,0
